Trial,Sat_Config,Total_Rods,Nominal,Reached_Steady_State,Lock_Day,W_Mag(deg/s),Wx,Wy,Wz,q0,q1,q2,q3
170,1U,4,Yes,Yes,0.515127,1.842590,-0.472086,-1.781007,0.016894,-0.041953,-0.100328,-0.626894,-0.771478
171,1U,4,No,Yes,3.083034,23.021116,14.886535,3.124100,17.280130,-0.364324,0.735483,0.481519,-0.307363
172,1U,4,Yes,Yes,6.545351,5.229065,-4.480570,-1.120650,2.451887,-0.281905,-0.427755,0.453952,0.729029
173,1U,4,Yes,Yes,0.203046,3.264012,2.873418,0.322788,1.514282,-0.674467,-0.624129,0.063710,0.389228
174,1U,4,No,Yes,6.640973,16.101356,14.274507,-5.646477,-4.858949,0.037566,0.292996,0.630327,-0.717935
175,1U,4,No,Yes,8.376060,28.073075,-23.745397,8.364631,12.421215,-0.131218,-0.243514,0.960900,0.012386
176,1U,4,No,Yes,4.493210,12.510323,-7.116838,-3.787497,9.566278,-0.773252,-0.260592,0.226015,0.532063
177,1U,4,No,Yes,4.781468,17.599089,7.450304,-2.484011,-15.749622,-0.505150,-0.607665,-0.590844,-0.162696
178,1U,4,No,Yes,3.082961,18.360869,-12.719480,9.433224,9.292504,-0.879876,-0.092024,0.339079,-0.319961
179,1U,4,No,Yes,4.396196,33.265927,-13.720280,23.633566,18.969194,0.247104,0.500999,-0.614187,-0.557417
180,1U,4,No,Yes,7.446723,19.695308,-6.234115,9.767748,-15.925831,-0.741616,0.013328,-0.263731,0.616664
181,1U,4,No,Yes,8.695997,18.340809,-18.166060,2.018367,-1.518458,-0.179572,0.753479,0.500135,0.387154
182,1U,4,No,Yes,8.375130,30.679852,-23.732452,-15.478104,11.766577,0.696100,0.148904,-0.020605,-0.702031
183,1U,4,No,Yes,1.455810,28.817368,22.831835,17.223890,-3.533500,0.061460,-0.531679,-0.752231,0.384303
184,1U,4,Yes,Yes,0.141553,2.395961,0.016273,2.047225,-1.244683,-0.569335,0.284170,0.732617,-0.241614
185,1U,4,Yes,Yes,0.514164,4.569374,0.419777,-2.801797,3.585094,-0.295441,0.829760,0.160268,-0.445564
